Date,CL=F,COP,CVX,LMT,NOC,RTX,XOM
2026-05-12,102.18000030517578,117.87000274658203,184.26229858398438,517.6114501953125,555.8535766601562,178.14793395996094,149.614501953125
2026-05-13,101.0199966430664,117.4000015258789,184.31185913085938,516.558349609375,549.382080078125,177.3711700439453,150.5481719970703
2026-05-14,101.16999816894531,118.97000122070312,184.946044921875,517.0252685546875,546.2459106445312,174.95123291015625,151.75
2026-05-15,105.41999816894531,122.41000366210938,189.36557006835938,512.6539306640625,538.3207397460938,170.46990966796875,157.9199981689453
2026-05-18,108.66000366210938,124.54000091552734,194.33999633789062,524.8739013671875,547.5899658203125,175.22012329101562,160.49000549316406
2026-05-19,107.7699966430664,125.11000061035156,197.25,523.204833984375,553.9022216796875,173.7661895751953,162.5500030517578
2026-05-20,98.26000213623047,122.36000061035156,191.3300018310547,519.191162109375,549.7504272460938,174.12469482421875,156.27999877929688
2026-05-21,96.3499984741211,120.55000305175781,191.00999450683594,519.3897705078125,549.1630249023438,175.25,155.2899932861328
2026-05-22,96.5999984741211,120.45999908447266,191.42999267578125,529.7718505859375,553.1455078125,177.00999450683594,154.9199981689453
2026-05-26,93.88999938964844,116.56999969482422,184.7100067138672,529.43408203125,554.3601684570312,178.97000122070312,149.80999755859375
2026-05-27,88.68000030517578,115.12999725341797,182.39999389648438,527.6854858398438,548.9241333007812,176.58999633789062,147.89999389648438
2026-05-28,88.9000015258789,114.98999786376953,183.02999877929688,533.716064453125,556.8392333984375,178.9600067138672,146.9600067138672
2026-05-29,87.36000061035156,113.9800033569336,182.4600067138672,527.0,561.2100219726562,179.66000366210938,145.25999450683594
2026-06-01,92.16000366210938,115.58000183105469,185.8300018310547,516.5,539.219970703125,174.41000366210938,149.3800048828125
2026-06-02,94.6500015258789,116.87000274658203,187.5500030517578,513.4299926757812,536.5900268554688,174.25999450683594,149.55999755859375
